date,GDP,EMP_CAN
2002-05-01,0.1355302,0.3520053
2002-06-01,0.1038479,0.409658
2002-07-01,0.3800657,0.2991355
2002-08-01,0.3661335,0.5262092
2002-09-01,-0.2310899,0.0531822
2002-10-01,0.5935232,0.0181533
2002-11-01,-0.0466761,0.2538007
2002-12-01,-0.3006819,0.2725061
2003-01-01,0.4913532,0.2177289
2003-02-01,0.2813452,0.3808501
2003-03-01,-0.1143982,-0.00769
2003-04-01,-0.3183144,-0.00833
2003-05-01,0.2987614,-0.1058415
2003-06-01,0.2103055,0.307592
2003-07-01,0.4806671,0.1400252
2003-08-01,-0.9601097,0.0153333
2003-09-01,1.2582676,0.1984818
2003-10-01,0.4845318,0.3265408
2003-11-01,0.1048984,0.2614812
2003-12-01,0.340434,0.1906023
2004-01-01,-0.0049,0.0253019
2004-02-01,0.055904,0.1238868
2004-03-01,0.7651569,0.0745109
2004-04-01,0.2434142,0.2691656
2004-05-01,0.3124285,0.1805083
2004-06-01,0.4530947,0.077889
2004-07-01,0.0697766,0.0495912
2004-08-01,0.4559199,-0.0521028
2004-09-01,0.2772887,0.3053246
2004-10-01,0.1206547,0.0963566
2004-11-01,0.1471446,0.1156304
2004-12-01,0.0511358,0.0599502
2005-01-01,0.4109102,-0.0187306
2005-02-01,0.1127476,0.2245356
2005-03-01,-0.3400754,-0.0243004
2005-04-01,0.7390932,0.1743332
2005-05-01,0.4517805,-0.00498
2005-06-01,0.3257969,0.1877001
2005-07-01,0.186259,0.2071794
2005-08-01,0.6416211,0.2191178
2005-09-01,0.0157126,-0.0828864
2005-10-01,0.225179,0.2928875
2005-11-01,0.621126,0.2009407
2005-12-01,0.3640382,-0.0394166
2006-01-01,0.2359288,-0.0788799
2006-02-01,0.2686728,0.2401435
2006-03-01,0.307841,0.3094875
2006-04-01,-0.0532719,0.181317
2006-05-01,0.0619164,0.4689169
2006-06-01,-0.1604559,0.0237536
2006-07-01,0.1004966,0.0127881
2006-08-01,0.022915,0.0347022
2006-09-01,-0.2427363,0.1508452
2006-10-01,0.157236,0.1366589
2006-11-01,0.1995553,0.1673803
2006-12-01,0.6985171,0.3888643
2007-01-01,-0.0203499,0.3254093
2007-02-01,0.4630137,0.1268635
2007-03-01,0.1809733,0.2886005
2007-04-01,0.1026094,-0.0899108
2007-05-01,0.4073452,0.1384291
2007-06-01,0.2560739,0.3425511
2007-07-01,-0.0448367,0.2545084
2007-08-01,0.2658233,0.0458261
2007-09-01,-0.1935141,0.2673957
2007-10-01,0.0737991,0.3293978
2007-11-01,0.0761484,0.0969537
2007-12-01,-0.3910375,0.0200884
2008-01-01,0.3319736,0.1528939
2008-02-01,-0.1406484,0.2674444
2008-03-01,-0.0524466,-0.0906389
2008-04-01,0.3467243,0.1153443
2008-05-01,0.0797719,0.0294033
2008-06-01,0.33636,-0.0394024
2008-07-01,0.5842143,-0.051776
2008-08-01,-0.1977187,0.1105798
2008-09-01,-0.0819481,0.3597137
2008-10-01,0.00789,0.1673856
2008-11-01,-1.1200981,-0.7124485
2008-12-01,-1.321909,-0.1827432
2009-01-01,-0.8478609,-0.7390859
2009-02-01,-0.3798304,-0.3131495
2009-03-01,-0.6689129,-0.1091778
2009-04-01,-0.310619,-0.2570081
2009-05-01,-0.1903772,-0.1557213
2009-06-01,0.0233519,-0.056359
2009-07-01,0.2890734,0.003
2009-08-01,0.1110386,0.0497639
2009-09-01,0.6480404,0.166499
2009-10-01,0.1534972,0.0460676
2009-11-01,0.6182577,0.4809452
2009-12-01,0.236874,-0.0911183
2010-01-01,0.6460433,0.2653816
2010-02-01,0.319036,0.1021566
2010-03-01,0.4963489,0.0735831
2010-04-01,-0.0895889,0.4539477
2010-05-01,0.552115,0.0879469
2010-06-01,0.2252356,0.4133162
2010-07-01,0.061854,-0.0517182
2010-08-01,0.3210746,0.0840284
2010-09-01,0.0165413,-0.2081435
2010-10-01,0.4339953,0.2081435
2010-11-01,0.3254808,0.18309
2010-12-01,0.7070986,0.2061615
2011-01-01,0.2810361,0.3043644
2011-02-01,-0.0247443,-0.0192509
2011-03-01,0.3316422,0.1335133
2011-04-01,0.1334403,0.2112744
2011-05-01,-0.2399604,-0.1000524
2011-06-01,0.3440701,0.2760643
2011-07-01,0.7164162,0.1148505
2011-08-01,0.5510649,0.1529291
2011-09-01,0.1541758,0.0480317
2011-10-01,0.0195946,-0.115199
2011-11-01,0.0748019,-0.0318624
2011-12-01,0.461494,0.1933352
2012-01-01,-0.0622397,-0.1551016
2012-02-01,-0.2631852,-0.0133222
2012-03-01,0.2450932,0.5430306
2012-04-01,0.3396772,0.5343673
2012-05-01,0.1564307,-0.1215617
2012-06-01,0.0489148,0.1347412
2012-07-01,0.1955952,-0.1358887
2012-08-01,-0.1295953,0.2738817
2012-09-01,-0.00946,0.1994953
2012-10-01,-0.0412342,0.1118632
2012-11-01,0.4788092,0.1664216
2012-12-01,-0.00512,0.2508184
2013-01-01,0.4900913,0.0709794
2013-02-01,0.4478509,0.1355725
2013-03-01,0.4021497,-0.1736112
2013-04-01,0.1115173,0.1866482
2013-05-01,0.2642206,0.223632
2013-06-01,-0.3937529,0.0333604
2013-07-01,0.5422384,-0.0237469
2013-08-01,0.4718599,0.22424
2013-09-01,0.3267402,0.0242578
2013-10-01,0.5577829,0.0530082
2013-11-01,0.1496985,0.0343839
2013-12-01,-0.4847856,-0.0479153
2014-01-01,0.2806315,0.0620036
2014-02-01,0.5900511,0.0478856
2014-03-01,0.1173027,0.0906381
2014-04-01,0.3443963,-0.0472792
2014-05-01,0.3637652,-0.0737777
2014-06-01,0.280792,0.1424377
2014-07-01,0.0590749,0.1837993
2014-08-01,-0.1563173,-0.0904522
2014-09-01,0.6198417,0.165112
2014-10-01,0.4123472,0.3109499
2014-11-01,-0.0709675,-0.0945833
2014-12-01,0.1902856,-0.088508
2015-01-01,-0.3601423,0.1741405
2015-02-01,-0.0648095,0.0950613
2015-03-01,-0.0897463,0.0731915
2015-04-01,-0.0838176,-0.0346336
2015-05-01,-0.1983337,0.2405115
2015-06-01,0.3778411,0.0406791
2015-07-01,0.3925907,0.1519821
2015-08-01,0.2195689,0.0784059
2015-09-01,-0.447532,-0.0183448
2015-10-01,0.0610204,0.111129
2015-11-01,0.2315494,-0.1139088
2015-12-01,0.1801736,0.0500247
2016-01-01,0.5338494,-0.00722
2016-02-01,-0.2429846,0.035005
2016-03-01,-0.3415126,0.1426712
2016-04-01,0.1675978,0.1064544
2016-05-01,-0.7620255,0.0371215
2016-06-01,0.4776649,0.0276936
2016-07-01,0.7133884,-0.0703568
2016-08-01,0.1774054,0.2457561
2016-09-01,0.4297368,0.3228809
2016-10-01,0.008,0.1871794
2016-11-01,0.4279714,-0.0913438
2016-12-01,0.2225108,0.1600718
2017-01-01,0.5805781,0.4524237
2017-02-01,0.1959055,0.0732917
2017-03-01,0.4181002,0.089081
2017-04-01,0.5276876,0.0928221
2017-05-01,0.3675369,0.268698
2017-06-01,0.2311777,0.229429
2017-07-01,0.1324458,0.1313312
2017-08-01,-0.1318687,0.1955914
2017-09-01,0.2236284,-0.0406039
2017-10-01,0.1338224,0.1590729
2017-11-01,0.4992827,0.3437923
2017-12-01,0.2710201,0.3485205
2018-01-01,-0.0420828,-0.3975614
2018-02-01,0.514569,0.0431141
2018-03-01,0.297025,0.2260447
2018-04-01,0.0447788,-0.0333364
2018-05-01,0.5426968,-0.0263544
2018-06-01,0.1161108,0.2133245
2018-07-01,0.3167514,0.3242189
2018-08-01,0.2063738,-0.267874
2018-09-01,0.0108821,0.3154805
2018-10-01,0.3624493,0.0855277
2018-11-01,-0.2396755,0.530771
2018-12-01,-0.0507987,0.0515413
2019-01-01,-0.027747,0.3536955
2019-02-01,-0.2572036,0.2785745
2019-03-01,0.8168522,-0.00106
2019-04-01,0.5576397,0.5144079
2019-05-01,0.2295297,0.0462039
2019-06-01,0.2381093,0.0042
2019-07-01,-0.1010546,-0.0698363
2019-08-01,-0.0652718,0.3952699
2019-09-01,0.0456897,0.217413
2019-10-01,0.1828003,-0.0167073
2019-11-01,-0.0297017,-0.2849757
2019-12-01,0.2053313,0.1433737
